Sample-#, CA-V, CA-I, CB-V, CB-I 
144, 0.356679648161, 0.000585088098887, 0.229953452945, 0.00126411463134
145, 0.359578847885, 0.000638494675513, 0.230106055737, 0.00120307854377
146, 0.361409932375, 0.000607976631727, 0.230258643627, 0.00120307854377
147, 0.365377277136, 0.000569829076994, 0.230563819408, 0.00131752120797
148, 0.367055773735, 0.00062323565362, 0.23086899519, 0.00124885560945
149, 0.368734270334, 0.000707160274033, 0.23086899519, 0.0013556687627
150, 0.371633470058, 0.000676642230246, 0.230945289135, 0.00133278022986
151, 0.37392231822, 0.00060034712078, 0.231174185872, 0.00132515071891
152, 0.377279311419, 0.000615606142674, 0.230792701244, 0.00122596707661
153, 0.379186689854, 0.00060034712078, 0.231250479817, 0.00127174414229
154, 0.38139924407, 0.00062323565362, 0.231326773763, 0.00116493098903
155, 0.384145885706, 0.000630865164567, 0.231631949544, 0.00126411463134
156, 0.386282145977, 0.000661383208353, 0.231403067708, 0.00119544903282
157, 0.388342112303, 0.000653753697407, 0.23186083138, 0.00127174414229
158, 0.391546487808, 0.000577458587941, 0.232013434172, 0.00118781952187
159, 0.394216835499, 0.00062323565362, 0.232394903898, 0.0011267834343
160, 0.396047919989, 0.000577458587941, 0.232166022062, 0.00134803925175
161, 0.398641943932, 0.000562199566048, 0.232318609953, 0.00127937365323
162, 0.399938970804, 0.000607976631727, 0.232471197844, 0.00118019001093
163, 0.403601139784, 0.000592717609834, 0.232394903898, 0.00114967196714
164, 0.406195163727, 0.00060034712078, 0.232547491789, 0.00111915392336
165, 0.408178836107, 0.000653753697407, 0.232700079679, 0.00118781952187
166, 0.41077286005, 0.000661383208353, 0.232776373625, 0.00123359658755
167, 0.41260394454, 0.000653753697407, 0.23285266757, 0.00118781952187
168, 0.415808349848, 0.000539311033208, 0.23285266757, 0.00119544903282
169, 0.418478667736, 0.000516422500368, 0.232700079679, 0.00127937365323
170, 0.420843809843, 0.000676642230246, 0.233081564307, 0.00118781952187
171, 0.422751188278, 0.000577458587941, 0.233310446143, 0.00114204245619
172, 0.425955593586, 0.000638494675513, 0.233234152198, 0.00126411463134
173, 0.428015559912, 0.000615606142674, 0.233081564307, 0.00123359658755
174, 0.430075526237, 0.000676642230246, 0.233386740088, 0.00125648512039
175, 0.432822167873, 0.000707160274033, 0.233386740088, 0.00125648512039
176, 0.434729546309, 0.000585088098887, 0.233386740088, 0.00123359658755
177, 0.438467979431, 0.000630865164567, 0.233157858253, 0.00121833756566
