Freq.	V(vout)
4.78630092322638e+001	5.54184701518544e-001 -5.49698081950116e-001
4.89778819368445e+001	5.41483861375742e-001 -5.52198395872928e-001
5.01187233627271e+001	5.28661693900065e-001 -5.54413580892408e-001
5.12861383991364e+001	5.15730441422353e-001 -5.56336766220312e-001
5.24807460249772e+001	5.02702811805463e-001 -5.57961729140009e-001
5.37031796370252e+001	4.89591933873164e-001 -5.59282932215582e-001
5.49540873857624e+001	4.76411309353202e-001 -5.60295556809742e-001
5.62341325190348e+001	4.63174761696547e-001 -5.60995532535753e-001
5.75439937337156e+001	4.49896382180281e-001 -5.61379562309508e-001
5.88843655355588e+001	4.36590473741740e-001 -5.61445142714987e-001
6.02559586074357e+001	4.23271493025493e-001 -5.61190579448723e-001
6.16595001861481e+001	4.09953991151776e-001 -5.60614997665788e-001
6.30957344480192e+001	3.96652553734409e-001 -5.59718347110007e-001
6.45654229034654e+001	3.83381740687617e-001 -5.58501401973653e-001
6.60693448007595e+001	3.70156026364272e-001 -5.56965755495464e-001
6.76082975391980e+001	3.56989740562720e-001 -5.55113809369229e-001
6.91830970918935e+001	3.43897010925839e-001 -5.52948758097290e-001
7.07945784384136e+001	3.30891707234374e-001 -5.50474568482824e-001
7.24435960074988e+001	3.17987388067670e-001 -5.47695954510603e-001
7.41310241300916e+001	3.05197250269089e-001 -5.44618347917172e-001
7.58577575029182e+001	2.92534081611655e-001 -5.41247864796976e-001
7.76247116628690e+001	2.80010217012612e-001 -5.37591268630367e-001
7.94328234724279e+001	2.67637498594712e-001 -5.33655930151894e-001
8.12830516164097e+001	2.55427239838173e-001 -5.29449784502561e-001
8.31763771102669e+001	2.43390194011540e-001 -5.24981286127491e-001
8.51138038202374e+001	2.31536527013159e-001 -5.20259361890765e-001
8.70963589956078e+001	2.19875794698813e-001 -5.15293362882064e-001
8.91250938133743e+001	2.08416924716128e-001 -5.10093015385591e-001
9.12010839355907e+001	1.97168202813743e-001 -5.04668371470913e-001
9.33254300796988e+001	1.86137263543584e-001 -4.99029759648402e-001
9.54992586021433e+001	1.75331085228782e-001 -4.93187736009545e-001
9.77237220955808e+001	1.64755989028214e-001 -4.87153036245249e-001
9.99999999999997e+001	1.54417641891963e-001 -4.80936528904149e-001
1.02329299228075e+002	1.44321063170348e-001 -4.74549170218625e-001
1.04712854805090e+002	1.34470634612828e-001 -4.68001960789622e-001
1.07151930523760e+002	1.24870113472091e-001 -4.61305904383104e-001
1.09647819614318e+002	1.15522648412892e-001 -4.54471969051991e-001
1.12201845430196e+002	1.06430797914649e-001 -4.47511050758217e-001
1.14815362149688e+002	9.75965508510426e-002 -4.40433939630996e-001
1.17489755493953e+002	8.90213489287461e-002 -4.33251288959813e-001
1.20226443461741e+002	8.07061106704421e-002 -4.25973586984778e-001
1.23026877081238e+002	7.26512566340691e-002 -4.18611131513071e-001
1.25892541179416e+002	6.48567355703728e-002 -4.11174007358630e-001
1.28824955169313e+002	5.73220512338135e-002 -4.03672066573328e-001
1.31825673855640e+002	5.00462895772543e-002 -3.96114911411645e-001
1.34896288259165e+002	4.30281460781712e-002 -3.88511879947598e-001
1.38038426460288e+002	3.62659529629434e-002 -3.80872034242317e-001
1.41253754462275e+002	2.97577061157016e-002 -3.73204150943177e-001
1.44543977074592e+002	2.35010914788359e-002 -3.65516714180852e-001
1.47910838816820e+002	1.74935107732712e-002 -3.57817910618754e-001
1.51356124843620e+002	1.17321063876790e-002 -3.50115626500138e-001
1.54881661891248e+002	6.21378530666691e-003 -3.42417446531345e-001
1.58489319246111e+002	9.35241968419098e-004 -3.34730654435175e-001
1.62181009735892e+002	-4.10702003791658e-003 -3.27062235005973e-001
1.65958690743755e+002	-8.91666750574935e-003 -3.19418877497501e-001
1.69824365246174e+002	-1.34975184279716e-002 -3.11806980175870e-001
1.73780082874937e+002	-1.78535241326125e-002 -3.04232655872530e-001
1.77827941003892e+002	-2.19887527564059e-002 -2.96701738376373e-001
1.81970085860998e+002	-2.59073740604202e-002 -2.89219789509226e-001
1.86208713666286e+002	-2.96136455779513e-002 -2.81792106735291e-001
1.90546071796324e+002	-3.31119000720645e-002 -2.74423731162171e-001
1.94984459975804e+002	-3.64065342684538e-002 -2.67119455799033e-001
1.99526231496887e+002	-3.95019988186721e-002 -2.59883833945933e-001
2.04173794466952e+002	-4.24027894392511e-002 -2.52721187597396e-001
2.08929613085403e+002	-4.51134391637520e-002 -2.45635615752793e-001
2.13796208950222e+002	-4.76385116373479e-002 -2.38631002535933e-001
2.18776162394954e+002	-4.99825953771262e-002 -2.31711025036434e-001
2.23872113856833e+002	-5.21502989158775e-002 -2.24879160795785e-001
2.29086765276776e+002	-5.41462467427209e-002 -2.18138694871619e-001
