Freq.	V(n002)
5.62341325190346e+001	1.70165565323126e-001 -3.75778186835515e-001
5.75439937337154e+001	1.63761052021084e-001 -3.70058603280659e-001
5.88843655355586e+001	1.57551820178078e-001 -3.64320249418904e-001
6.02559586074355e+001	1.51535357402654e-001 -3.58569927433275e-001
6.16595001861479e+001	1.45708908861823e-001 -3.52814147590654e-001
6.30957344480190e+001	1.40069500830866e-001 -3.47059124311490e-001
6.45654229034652e+001	1.34613963594922e-001 -3.41310773929255e-001
6.60693448007593e+001	1.29338953605266e-001 -3.35574714013974e-001
6.76082975391978e+001	1.24240974808937e-001 -3.29856264132519e-001
6.91830970918933e+001	1.19316399085311e-001 -3.24160447918350e-001
7.07945784384134e+001	1.14561485737235e-001 -3.18491996324731e-001
7.24435960074986e+001	1.09972399997442e-001 -3.12855351937992e-001
7.41310241300914e+001	1.05545230522953e-001 -3.07254674231019e-001
7.58577575029180e+001	1.01276005861166e-001 -3.01693845641530e-001
7.76247116628688e+001	9.71607098812400e-002 -2.96176478364865e-001
7.94328234724277e+001	9.31952961731750e-002 -2.90705921756625e-001
8.12830516164095e+001	8.93757014248335e-002 -2.85285270246560e-001
8.31763771102667e+001	8.56978577939052e-002 -2.79917371671429e-001
8.51138038202372e+001	8.21577042976697e-002 -2.74604835941042e-001
8.70963589956076e+001	7.87511972483354e-002 -2.69350043958209e-001
8.91250938133741e+001	7.54743197658226e-002 -2.64155156719889e-001
9.12010839355905e+001	7.23230904031603e-002 -2.59022124533208e-001
9.33254300796986e+001	6.92935709222541e-002 -2.53952696286329e-001
9.54992586021431e+001	6.63818732597168e-002 -2.48948428720182e-001
9.77237220955805e+001	6.35841657238001e-002 -2.44010695652892e-001
9.99999999999995e+001	6.08966784642882e-002 -2.39140697114283e-001
1.02329299228075e+002	5.83157082575743e-002 -2.34339468353054e-001
1.04712854805089e+002	5.58376226490965e-002 -2.29607888684151e-001
1.07151930523760e+002	5.34588634949118e-002 -2.24946690148453e-001
1.09647819614318e+002	5.11759499434969e-002 -2.20356465961128e-001
1.12201845430196e+002	4.89854808979148e-002 -2.15837678728981e-001
1.14815362149688e+002	4.68841369973363e-002 -2.11390668420702e-001
1.17489755493952e+002	4.48686821555813e-002 -2.07015660077209e-001
1.20226443461741e+002	4.29359646928932e-002 -2.02712771252291e-001
1.23026877081237e+002	4.10829180956029e-002 -1.98482019176430e-001
1.25892541179416e+002	3.93065614367142e-002 -1.94323327639108e-001
1.28824955169313e+002	3.76039994887683e-002 -1.90236533587051e-001
1.31825673855640e+002	3.59724225586458e-002 -1.86221393437779e-001
1.34896288259165e+002	3.44091060722606e-002 -1.82277589109491e-001
1.38038426460288e+002	3.29114099354058e-002 -1.78404733769790e-001
1.41253754462275e+002	3.14767776953377e-002 -1.74602377307000e-001
1.44543977074592e+002	3.01027355260502e-002 -1.70870011528936e-001
1.47910838816820e+002	2.87868910585971e-002 -1.67207075094858e-001
1.51356124843620e+002	2.75269320762819e-002 -1.63612958187149e-001
1.54881661891247e+002	2.63206250930469e-002 -1.60087006929851e-001
1.58489319246110e+002	2.51658138319768e-002 -1.56628527561716e-001
1.62181009735892e+002	2.40604176194714e-002 -1.53236790371790e-001
1.65958690743755e+002	2.30024297093549e-002 -1.49911033405888e-001
1.69824365246173e+002	2.19899155499667e-002 -1.46650465952455e-001
1.73780082874936e+002	2.10210110061252e-002 -1.43454271816511e-001
1.77827941003891e+002	2.00939205467722e-002 -1.40321612390366e-001
1.81970085860997e+002	1.92069154080858e-002 -1.37251629529825e-001
1.86208713666286e+002	1.83583317408981e-002 -1.34243448244558e-001
1.90546071796323e+002	1.75465687503645e-002 -1.31296179211176e-001
1.94984459975803e+002	1.67700868350042e-002 -1.28408921117462e-001
1.99526231496887e+002	1.60274057314647e-002 -1.25580762846002e-001
2.04173794466952e+002	1.53171026706502e-002 -1.22810785505292e-001
2.08929613085403e+002	1.46378105501978e-002 -1.20098064316184e-001
2.13796208950222e+002	1.39882161276808e-002 -1.17441670361274e-001
2.18776162394954e+002	1.33670582383593e-002 -1.14840672204631e-001
2.23872113856832e+002	1.27731260407914e-002 -1.12294137388990e-001
2.29086765276776e+002	1.22052572931465e-002 -1.09801133817254e-001
2.34422881531991e+002	1.16623366626405e-002 -1.07360731024932e-001
2.39883291901947e+002	1.11432940701189e-002 -1.04972001349816e-001
