Freq.	V(vout)
1.81970085860998e+001	9.87096153262685e-001 -1.12859813382333e-001
1.86208713666286e+001	9.86496225880948e-001 -1.15418465609248e-001
1.90546071796324e+001	9.85868805892925e-001 -1.18031790040579e-001
1.94984459975804e+001	9.85212671336917e-001 -1.20700719028896e-001
1.99526231496887e+001	9.84526549537567e-001 -1.23426183580388e-001
2.04173794466952e+001	9.83809115344958e-001 -1.26209111830837e-001
2.08929613085403e+001	9.83058989346568e-001 -1.29050427397479e-001
2.13796208950222e+001	9.82274736055475e-001 -1.31951047599561e-001
2.18776162394954e+001	9.81454862078774e-001 -1.34911881540170e-001
2.23872113856833e+001	9.80597814270700e-001 -1.37933828041657e-001
2.29086765276776e+001	9.79701977875603e-001 -1.41017773426737e-001
2.34422881531991e+001	9.78765674666543e-001 -1.44164589137174e-001
2.39883291901948e+001	9.77787161086053e-001 -1.47375129181726e-001
2.45470891568502e+001	9.76764626396349e-001 -1.50650227404904e-001
2.51188643150957e+001	9.75696190847139e-001 -1.53990694567959e-001
2.57039578276885e+001	9.74579903870063e-001 -1.57397315233400e-001
2.63026799189537e+001	9.73413742309792e-001 -1.60870844444348e-001
2.69153480392690e+001	9.72195608702818e-001 -1.64412004190009e-001
2.75422870333815e+001	9.70923329616072e-001 -1.68021479648621e-001
2.81838293126444e+001	9.69594654058711e-001 -1.71699915199397e-001
2.88403150312659e+001	9.68207251981583e-001 -1.75447910195176e-001
2.95120922666637e+001	9.66758712880268e-001 -1.79266014487843e-001
3.01995172040200e+001	9.65246544518882e-001 -1.83154723698954e-001
3.09029543251358e+001	9.63668171793331e-001 -1.87114474228560e-001
3.16227766016837e+001	9.62020935754163e-001 -1.91145637995869e-001
3.23593656929627e+001	9.60302092810730e-001 -1.95248516906178e-001
3.31131121482590e+001	9.58508814139973e-001 -1.99423337039463e-001
3.38844156139201e+001	9.56638185324795e-001 -2.03670242557125e-001
3.46736850452530e+001	9.54687206248649e-001 -2.07989289324711e-001
3.54813389233574e+001	9.52652791274689e-001 -2.12380438249932e-001
3.63078054770100e+001	9.50531769739513e-001 -2.16843548337002e-001
3.71535229097171e+001	9.48320886793247e-001 -2.21378369460335e-001
3.80189396320559e+001	9.46016804619349e-001 -2.25984534862776e-001
3.89045144994279e+001	9.43616104069173e-001 -2.30661553386099e-001
3.98107170553495e+001	9.41115286747818e-001 -2.35408801444191e-001
4.07380277804111e+001	9.38510777589246e-001 -2.40225514752440e-001
4.16869383470333e+001	9.35798927959937e-001 -2.45110779830201e-001
4.26579518801591e+001	9.32976019331439e-001 -2.50063525296875e-001
4.36515832240164e+001	9.30038267563091e-001 -2.55082512986162e-001
4.46683592150961e+001	9.26981827836805e-001 -2.60166328907376e-001
4.57088189614873e+001	9.23802800286141e-001 -2.65313374087371e-001
4.67735141287196e+001	9.20497236361833e-001 -2.70521855331618e-001
4.78630092322636e+001	9.17061145975498e-001 -2.75789775948283e-001
4.89778819368444e+001	9.13490505462312e-001 -2.81114926484742e-001
5.01187233627270e+001	9.09781266401955e-001 -2.86494875531849e-001
5.12861383991362e+001	9.05929365335079e-001 -2.91926960657388e-001
5.24807460249770e+001	9.01930734409769e-001 -2.97408279536437e-001
5.37031796370250e+001	8.97781312989051e-001 -3.02935681352836e-001
5.49540873857622e+001	8.93477060246161e-001 -3.08505758552477e-001
5.62341325190346e+001	8.89013968769238e-001 -3.14114839035672e-001
5.75439937337154e+001	8.84388079190984e-001 -3.19758978882322e-001
5.88843655355586e+001	8.79595495851879e-001 -3.25433955709859e-001
6.02559586074355e+001	8.74632403497479e-001 -3.31135262769917e-001
6.16595001861479e+001	8.69495085001279e-001 -3.36858103895242e-001
6.30957344480190e+001	8.64179940094450e-001 -3.42597389413292e-001
6.45654229034652e+001	8.58683505072602e-001 -3.48347733147257e-001
6.60693448007593e+001	8.53002473437408e-001 -3.54103450628587e-001
6.76082975391978e+001	8.47133717417665e-001 -3.59858558647411e-001
6.91830970918933e+001	8.41074310300129e-001 -3.65606776268290e-001
7.07945784384134e+001	8.34821549485284e-001 -3.71341527438386e-001
7.24435960074986e+001	8.28372980167389e-001 -3.77055945313142e-001
7.41310241300914e+001	8.21726419521578e-001 -3.82742878420782e-001
7.58577575029180e+001	8.14879981263912e-001 -3.88394898781174e-001
7.76247116628688e+001	8.07832100433088e-001 -3.94004312086750e-001
7.94328234724277e+001	8.00581558225438e-001 -3.99563170042946e-001
8.12830516164095e+001	7.93127506698013e-001 -4.05063284953112e-001
8.31763771102667e+001	7.85469493138419e-001 -4.10496246617791e-001
8.51138038202372e+001	7.77607483884851e-001 -4.15853441600670e-001
8.70963589956076e+001	7.69541887365978e-001 -4.21126074893477e-001
8.91250938133741e+001	7.61273576118187e-001 -4.26305193989487e-001
9.12010839355905e+001	7.52803907527788e-001 -4.31381715350433e-001
9.33254300796986e+001	7.44134743038324e-001 -4.36346453224512e-001
9.54992586021431e+001	7.35268465558702e-001 -4.41190150744159e-001
9.77237220955805e+001	7.26207994806692e-001 -4.45903513201607e-001
9.99999999999995e+001	7.16956800324900e-001 -4.50477243368388e-001
1.02329299228075e+002	7.07518911912815e-001 -4.54902078692240e-001
1.04712854805089e+002	6.97898927229312e-001 -4.59168830171961e-001
1.07151930523760e+002	6.88102016335158e-001 -4.63268422678093e-001
1.09647819614318e+002	6.78133922964774e-001 -4.67191936455650e-001
1.12201845430196e+002	6.68000962340773e-001 -4.70930649514952e-001
1.14815362149688e+002	6.57710015373427e-001 -4.74476080588804e-001
1.17489755493952e+002	6.47268519120219e-001 -4.77820032309381e-001
1.20226443461741e+002	6.36684453417442e-001 -4.80954634236926e-001
1.23026877081237e+002	6.25966323636216e-001 -4.83872385355453e-001
1.25892541179416e+002	6.15123139558604e-001 -4.86566195638548e-001
1.28824955169313e+002	6.04164390415178e-001 -4.89029426281726e-001
1.31825673855640e+002	5.93100016172602e-001 -4.91255928196965e-001
1.34896288259165e+002	5.81940375207799e-001 -4.93240078370366e-001
1.38038426460288e+002	5.70696208553123e-001 -4.94976813695564e-001
1.41253754462275e+002	5.59378600943747e-001 -4.96461661913549e-001
1.44543977074592e+002	5.47998938943320e-001 -4.97690769313954e-001
